title,year,yts_title,yts_year,yts_url,yts_quality_available,yts_next_quality,magnet
Give Me a Riddle,1966,,,,,,
Die Another Day,2002,,,,,,
The World Is Not Enough,1999,,,,,,,
Tomorrow Never Dies,1997,,,,,,
Les misérables,2026,,,,,,
Warrior Road,2016,,,,,,
Men in Black: International,2019,Men in Black: International,2019,https://yts.mx/movies/men-in-black-international-2019,1080p.bluray|1080p.web|2160p.bluray|720p.bluray|720p.web,1080p,magnet:?xt=urn:btih:9858BE06B3DB166ACE914230C5B5DBA23AFE4414&dn=Men%20in%20Black%3A%20International.1080p.bluray
Night and Fog in Zona,2015,,,,,,
Pocahontas: The Legend,1995,,,,,,
Precious Find,1996,,,,,,
The Beatles: She Loves You - A Hard Day's Night Version,1964,,,,,,
The Island President,2011,,,,,,
Todo Sobre Mi Madre (All About My Mother),,,,,,,
"Bocage, the Triumph of Love",1997,,,,,,
Wallace & Gromit: The Curse of the Were-Rabbit,2005,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://yts.mx/movies/wallace-gromit-the-curse-of-the-were-rabbit-2005,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:9E88A11CF8494DA765CE4E274C2D8924951F5AC1&dn=Wallace%20%26%20Gromit%3A%20The%20Curse%20of%20the%20Were-Rabbit.1080p.bluray
Wallace & Gromit: A Grand Day Out (Narrated),1996,,,,,,
Wallace & Gromit: The Aardman Collection,1994,,,,,,
"Edison, the Man",1940,,,,,,
Full Throttle 2,2024,,,,,,
28 Days by Smelly,,,,,,,
Gangs of New York,1938,,,,,,
You've Got Mail,1998,You've Got Mail,1998,https://yts.mx/movies/youve-got-mail-1998,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:B6F6F4CA8947E9C4C8BD531C715A8826A2C109B4&dn=You%27ve%20Got%20Mail.1080p.bluray
Burn After Reading,2008,,,,,,
Julia Louis-Dreyfus,,,,,,,
Rosemary's Baby,2015,,,,,,
Shattered Hopes: The True Story of the Amityville Murders - Part I: From Horror to Homicide,2011,,,,,,
Bunnoui woinbal,1974,,,,,,
Fritz Lang in America,2007,,,,,,
Gett,2014,Gett,2014,https://yts.mx/movies/gett-2014,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:FC807B8365C10304B4D52CECD8771B8C8253DE2C&dn=Gett.1080p.bluray
Ooru naito rongu 2,1995,,,,,,
This Is Not a Film,2003,,,,,,
Snowtown,2011,Snowtown,2011,https://yts.mx/movies/snowtown-2011,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:E75322AF2E9E09C73D8E77F14CCAA4AB3272A806&dn=Snowtown.1080p.bluray
Yalnizlar rihtimi,1959,,,,,,
Happenstance,,,,,,,
Charlie and the Chocolate Factory,2025,,,,,,
The runner South Africa,2019,,,,,,
Bride & Prejudice,2004,Bride & Prejudice,2004,https://yts.mx/movies/bride-prejudice-2004,1080p.web|720p.web,1080p,magnet:?xt=urn:btih:0E8D4CD7CA6E53A673C2632B35365266C18A2D55&dn=Bride%20%26%20Prejudice.1080p.web
Legally Blonde: The Musical,2017,,,,,,
School of Rock,2018,,,,,,
Celeste & Jesse Forever,2012,Celeste & Jesse Forever,2012,https://yts.mx/movies/celeste-jesse-forever-2012,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:A482E65E60281D2B453075A58290990BBCD34D9D&dn=Celeste%20%26%20Jesse%20Forever.1080p.bluray
Nuovo cinema paradosso,2005,,,,,,
Kate & Leopold,2001,Kate & Leopold,2001,https://yts.mx/movies/kate-leopold-2001,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:D91252CC34D9ED9925888AF1FC83B2002B274AAD&dn=Kate%20%26%20Leopold.1080p.bluray
Hell and Back Again,2011,,,,,,
The Golden Voices,2018,The Golden Voices,2018,https://yts.mx/movies/the-golden-voices-2018,1080p.web|720p.web,1080p,magnet:?xt=urn:btih:612769C4D82F38707C5EDD7F78C56EDEF739419B&dn=The%20Golden%20Voices.1080p.web
Sweeney Todd: The Demon Barber of Fleet Street,,,,,,,
Anastasia,2020,Anastasia,2020,https://yts.mx/movies/anastasia-2020,1080p.web|720p.web,1080p,magnet:?xt=urn:btih:B5375254E0834F0F08797244AB7038D954214A60&dn=Anastasia.1080p.web
Drugs & Other Love,2016,,,,,,
Strong Hawk: My Sister's Keeper,2022,,,,,,
Imagine You & Me,2016,,,,,,
"Stalingrad: Dogs, Do You Want to Live Forever?",1959,,,,,,
Drag Me to Hell,2009,Drag Me to Hell,2009,https://yts.mx/movies/drag-me-to-hell-2009,1080p.bluray|2160p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:63C475E5D21B15933C714B42C08E5AD4831B4E58&dn=Drag%20Me%20to%20Hell.1080p.bluray
What to Expect When You're Expecting: Workout,2012,,,,,,
